0,1,2,3,4,5,6,7,8
1.0,10.0,3.0,-1.0,1.0,0.0,44.0,98.0,116.0
10.0,-11.0,-5.0,0.0,1.0,0.0,44.0,99.0,116.0
-4.0,-7.0,2.0,0.0,0.0,0.0,44.0,99.0,116.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,99.0,116.0
-6.0,7.0,5.0,0.0,0.0,0.0,44.0,99.0,116.0
8.0,3.0,-8.0,-2.0,1.0,0.0,42.0,100.0,116.0
0.0,7.0,-4.0,-1.0,0.0,0.0,41.0,100.0,116.0
-3.0,5.0,-5.0,0.0,0.0,0.0,41.0,100.0,116.0
-2.0,3.0,2.0,0.0,0.0,-1.0,41.0,100.0,115.0
4.0,-4.0,2.0,0.0,1.0,1.0,41.0,101.0,116.0
-1.0,-4.0,-3.0,1.0,0.0,0.0,42.0,101.0,116.0
-5.0,4.0,-5.0,-1.0,-1.0,-1.0,41.0,100.0,115.0
-2.0,21.0,-5.0,-2.0,0.0,-1.0,39.0,100.0,114.0
5.0,12.0,-3.0,-1.0,0.0,-2.0,38.0,100.0,112.0
8.0,-14.0,-11.0,1.0,0.0,1.0,39.0,100.0,113.0
-12.0,14.0,-6.0,1.0,-1.0,-1.0,40.0,99.0,112.0
-3.0,20.0,-7.0,-2.0,-1.0,-2.0,38.0,98.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,98.0,110.0
8.0,-1.0,-10.0,-1.0,0.0,-2.0,37.0,98.0,108.0
-1.0,-4.0,1.0,0.0,-1.0,-1.0,37.0,97.0,107.0
-6.0,8.0,2.0,1.0,-1.0,-1.0,38.0,96.0,106.0
5.0,5.0,-7.0,-1.0,0.0,-2.0,37.0,96.0,104.0
2.0,5.0,-2.0,-1.0,-1.0,-2.0,36.0,95.0,102.0
1.0,-4.0,6.0,0.0,-1.0,-1.0,36.0,94.0,101.0
-3.0,-14.0,5.0,0.0,-1.0,-1.0,36.0,93.0,100.0
-9.0,-2.0,8.0,1.0,0.0,-1.0,37.0,93.0,99.0
5.0,-2.0,-5.0,0.0,0.0,-1.0,37.0,93.0,98.0
-1.0,-7.0,-1.0,1.0,0.0,-2.0,38.0,93.0,96.0
-11.0,-13.0,11.0,1.0,-1.0,-1.0,39.0,92.0,95.0
-3.0,-9.0,2.0,0.0,0.0,-1.0,39.0,92.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,39.0,92.0,94.0
1.0,1.0,0.0,-1.0,0.0,-1.0,38.0,92.0,93.0
1.0,-2.0,1.0,0.0,0.0,-1.0,38.0,92.0,92.0
1.0,-1.0,0.0,1.0,0.0,-1.0,39.0,92.0,91.0
-1.0,-3.0,-1.0,0.0,0.0,-1.0,39.0,92.0,90.0
-2.0,1.0,0.0,0.0,0.0,-1.0,39.0,92.0,89.0
-1.0,10.0,-3.0,-1.0,0.0,-1.0,38.0,92.0,88.0
5.0,0.0,-2.0,-1.0,0.0,-2.0,37.0,92.0,86.0
5.0,-10.0,-1.0,0.0,0.0,0.0,37.0,92.0,86.0
-4.0,6.0,0.0,0.0,0.0,-1.0,37.0,92.0,85.0
-3.0,11.0,5.0,-1.0,-1.0,-1.0,36.0,91.0,84.0
6.0,-10.0,-4.0,1.0,0.0,0.0,37.0,91.0,84.0
0.0,0.0,0.0,0.0,0.0,0.0,37.0,91.0,84.0
-1.0,-11.0,-5.0,0.0,0.0,-1.0,37.0,91.0,83.0
-4.0,10.0,-1.0,-1.0,0.0,-2.0,36.0,91.0,81.0
-1.0,18.0,2.0,-2.0,0.0,-1.0,34.0,91.0,80.0
3.0,-2.0,-5.0,0.0,0.0,-1.0,34.0,91.0,79.0
-6.0,-1.0,-7.0,2.0,-1.0,0.0,36.0,90.0,79.0
-4.0,2.0,3.0,2.0,0.0,-2.0,38.0,90.0,77.0
3.0,-15.0,8.0,1.0,0.0,-1.0,39.0,90.0,76.0
-4.0,-23.0,12.0,3.0,0.0,0.0,42.0,90.0,76.0
-6.0,-12.0,4.0,1.0,0.0,1.0,43.0,90.0,77.0
2.0,3.0,-2.0,-2.0,0.0,-1.0,41.0,90.0,76.0
6.0,9.0,-4.0,-2.0,1.0,-2.0,39.0,91.0,74.0
2.0,7.0,-3.0,-1.0,0.0,0.0,38.0,91.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,91.0,74.0
-3.0,1.0,0.0,1.0,-1.0,-1.0,39.0,90.0,73.0
1.0,9.0,-2.0,1.0,0.0,0.0,40.0,90.0,73.0
6.0,8.0,-5.0,-1.0,0.0,-1.0,39.0,90.0,72.0
6.0,-8.0,-1.0,1.0,0.0,-1.0,40.0,90.0,71.0
-2.0,-7.0,7.0,1.0,-1.0,0.0,41.0,89.0,71.0
-2.0,4.0,6.0,0.0,0.0,0.0,41.0,89.0,71.0
7.0,-2.0,4.0,-1.0,-1.0,0.0,40.0,88.0,71.0
4.0,-8.0,3.0,0.0,0.0,0.0,40.0,88.0,71.0
-6.0,7.0,1.0,-1.0,0.0,0.0,39.0,88.0,71.0
-1.0,10.0,-8.0,-1.0,0.0,-1.0,38.0,88.0,70.0
3.0,2.0,-20.0,0.0,-1.0,-1.0,38.0,87.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,87.0,69.0
-12.0,17.0,-8.0,0.0,-1.0,-1.0,38.0,86.0,68.0
-4.0,4.0,-1.0,1.0,-1.0,-1.0,39.0,85.0,67.0
4.0,-10.0,-9.0,2.0,0.0,-1.0,41.0,85.0,66.0
-6.0,12.0,-4.0,0.0,-1.0,-2.0,41.0,84.0,64.0
6.0,14.0,-5.0,-1.0,-1.0,-2.0,40.0,83.0,62.0
9.0,-1.0,2.0,0.0,0.0,-2.0,40.0,83.0,60.0
-1.0,-5.0,10.0,2.0,-2.0,0.0,42.0,81.0,60.0
-2.0,-6.0,8.0,1.0,-1.0,0.0,43.0,80.0,60.0
1.0,-14.0,10.0,0.0,0.0,-1.0,43.0,80.0,59.0
3.0,-19.0,13.0,0.0,-1.0,-1.0,43.0,79.0,58.0
2.0,-10.0,1.0,0.0,0.0,0.0,43.0,79.0,58.0
-1.0,11.0,-8.0,-2.0,0.0,-1.0,41.0,79.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,41.0,79.0,57.0
2.0,17.0,-2.0,-2.0,-1.0,-2.0,39.0,78.0,55.0
3.0,-4.0,6.0,-1.0,-1.0,-1.0,38.0,77.0,54.0
-4.0,-12.0,18.0,2.0,0.0,0.0,40.0,77.0,54.0
7.0,-18.0,7.0,2.0,0.0,1.0,42.0,77.0,55.0
2.0,-15.0,5.0,0.0,-1.0,1.0,42.0,76.0,56.0
-4.0,-14.0,15.0,-1.0,0.0,-1.0,41.0,76.0,55.0
3.0,-13.0,9.0,-2.0,0.0,1.0,39.0,76.0,56.0
-1.0,2.0,11.0,-3.0,1.0,0.0,36.0,77.0,56.0
4.0,-5.0,8.0,-1.0,0.0,1.0,35.0,77.0,57.0
3.0,-5.0,-3.0,-1.0,1.0,1.0,34.0,78.0,58.0
-8.0,14.0,-7.0,-2.0,1.0,0.0,32.0,79.0,58.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,79.0,58.0
0.0,8.0,-12.0,-1.0,0.0,0.0,31.0,79.0,58.0
0.0,3.0,-12.0,0.0,0.0,0.0,31.0,79.0,58.0
-5.0,0.0,-9.0,1.0,0.0,0.0,32.0,79.0,58.0
-5.0,3.0,-7.0,0.0,-1.0,0.0,32.0,78.0,58.0
-4.0,12.0,-2.0,-1.0,0.0,0.0,31.0,78.0,58.0
3.0,9.0,-3.0,0.0,0.0,-1.0,31.0,78.0,57.0
6.0,1.0,-2.0,0.0,1.0,0.0,31.0,79.0,57.0
4.0,2.0,-3.0,-1.0,0.0,0.0,30.0,79.0,57.0
1.0,11.0,-7.0,-1.0,0.0,0.0,29.0,79.0,57.0
4.0,9.0,-4.0,-2.0,-1.0,-1.0,27.0,78.0,56.0
5.0,1.0,3.0,0.0,0.0,-1.0,27.0,78.0,55.0
0.0,-7.0,10.0,2.0,0.0,0.0,29.0,78.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,78.0,55.0
-2.0,-18.0,10.0,1.0,-1.0,1.0,30.0,77.0,56.0
-3.0,-12.0,2.0,0.0,0.0,0.0,30.0,77.0,56.0
-1.0,12.0,-6.0,-2.0,0.0,-1.0,28.0,77.0,55.0
5.0,23.0,-8.0,-4.0,0.0,-2.0,24.0,77.0,53.0
7.0,9.0,-2.0,-1.0,1.0,-1.0,23.0,78.0,52.0
4.0,-6.0,4.0,1.0,0.0,0.0,24.0,78.0,52.0
3.0,-12.0,0.0,2.0,-1.0,1.0,26.0,77.0,53.0
1.0,1.0,-3.0,0.0,0.0,-1.0,26.0,77.0,52.0
-4.0,10.0,1.0,-2.0,-1.0,-2.0,24.0,76.0,50.0
-6.0,0.0,4.0,-2.0,-1.0,-1.0,22.0,75.0,49.0
-4.0,-14.0,0.0,0.0,1.0,0.0,22.0,76.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,76.0,49.0
-5.0,-3.0,-7.0,2.0,0.0,0.0,24.0,76.0,49.0
-7.0,16.0,-1.0,0.0,0.0,-1.0,24.0,76.0,48.0
1.0,1.0,6.0,0.0,-1.0,-1.0,24.0,75.0,47.0
1.0,-18.0,10.0,3.0,1.0,0.0,27.0,76.0,47.0
0.0,-19.0,4.0,3.0,0.0,1.0,30.0,76.0,48.0
1.0,-6.0,-1.0,0.0,0.0,-1.0,30.0,76.0,47.0
2.0,5.0,-6.0,-2.0,0.0,-1.0,28.0,76.0,46.0
2.0,9.0,-4.0,-3.0,0.0,-2.0,25.0,76.0,44.0
3.0,11.0,1.0,-2.0,1.0,-1.0,23.0,77.0,43.0
6.0,6.0,1.0,0.0,0.0,0.0,23.0,77.0,43.0
4.0,-5.0,9.0,2.0,0.0,0.0,25.0,77.0,43.0
3.0,-13.0,6.0,2.0,0.0,1.0,27.0,77.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,77.0,44.0
2.0,-3.0,-2.0,1.0,0.0,0.0,28.0,77.0,44.0
-1.0,13.0,-7.0,-2.0,0.0,-1.0,26.0,77.0,43.0
1.0,13.0,1.0,-3.0,0.0,-2.0,23.0,77.0,41.0
2.0,-6.0,12.0,1.0,1.0,0.0,24.0,78.0,41.0
-1.0,-14.0,14.0,2.0,1.0,1.0,26.0,79.0,42.0
-2.0,-14.0,7.0,3.0,1.0,2.0,29.0,80.0,44.0
-2.0,-12.0,-6.0,2.0,1.0,1.0,31.0,81.0,45.0
-5.0,5.0,-19.0,-1.0,0.0,-1.0,30.0,81.0,44.0
-5.0,24.0,-21.0,-2.0,0.0,-2.0,28.0,81.0,42.0
-3.0,29.0,-14.0,-2.0,0.0,-3.0,26.0,81.0,39.0
0.0,13.0,-1.0,1.0,1.0,-1.0,27.0,82.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,82.0,38.0
2.0,-8.0,8.0,4.0,1.0,1.0,31.0,83.0,39.0
6.0,-18.0,7.0,5.0,2.0,1.0,36.0,85.0,40.0
5.0,-13.0,5.0,3.0,0.0,0.0,39.0,85.0,40.0
4.0,1.0,2.0,0.0,1.0,0.0,39.0,86.0,40.0
7.0,11.0,-6.0,-2.0,0.0,-2.0,37.0,86.0,38.0
6.0,19.0,-7.0,-2.0,0.0,-1.0,35.0,86.0,37.0
9.0,12.0,2.0,-2.0,0.0,-1.0,33.0,86.0,36.0
10.0,0.0,3.0,1.0,0.0,-1.0,34.0,86.0,35.0
4.0,-3.0,3.0,1.0,0.0,1.0,35.0,86.0,36.0
-4.0,1.0,2.0,0.0,0.0,0.0,35.0,86.0,36.0
-4.0,1.0,-3.0,0.0,-1.0,-1.0,35.0,85.0,35.0
-4.0,3.0,-10.0,1.0,0.0,0.0,36.0,85.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,85.0,35.0
-5.0,3.0,-8.0,1.0,0.0,-2.0,37.0,85.0,33.0
-6.0,3.0,-4.0,1.0,-1.0,-1.0,38.0,84.0,32.0
-5.0,1.0,3.0,2.0,0.0,-1.0,40.0,84.0,31.0
-2.0,-7.0,8.0,3.0,0.0,0.0,43.0,84.0,31.0
2.0,-13.0,12.0,3.0,1.0,0.0,46.0,85.0,31.0
4.0,-11.0,8.0,2.0,1.0,0.0,48.0,86.0,31.0
4.0,-3.0,5.0,0.0,0.0,0.0,48.0,86.0,31.0
5.0,1.0,-1.0,0.0,0.0,0.0,48.0,86.0,31.0
5.0,6.0,-2.0,-1.0,0.0,-1.0,47.0,86.0,30.0
5.0,11.0,-5.0,-1.0,0.0,0.0,46.0,86.0,30.0
6.0,11.0,-7.0,0.0,0.0,0.0,46.0,86.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,46.0,86.0,30.0
6.0,10.0,-7.0,0.0,-1.0,-1.0,46.0,85.0,29.0
5.0,9.0,-8.0,0.0,-2.0,0.0,46.0,83.0,29.0
3.0,11.0,-8.0,1.0,-1.0,-1.0,47.0,82.0,28.0
3.0,9.0,-3.0,0.0,-2.0,-2.0,47.0,80.0,26.0
4.0,1.0,1.0,0.0,-2.0,-1.0,47.0,78.0,25.0
4.0,0.0,3.0,0.0,-2.0,0.0,47.0,76.0,25.0
4.0,-4.0,3.0,0.0,-2.0,-1.0,47.0,74.0,24.0
1.0,-7.0,8.0,-1.0,-2.0,0.0,46.0,72.0,24.0
-1.0,-9.0,9.0,0.0,-1.0,1.0,46.0,71.0,25.0
-2.0,-11.0,10.0,0.0,-2.0,1.0,46.0,69.0,26.0
-6.0,-10.0,8.0,-1.0,-2.0,1.0,45.0,67.0,27.0
-11.0,-6.0,3.0,0.0,-1.0,1.0,45.0,66.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,66.0,28.0
-10.0,-5.0,0.0,1.0,-2.0,0.0,46.0,64.0,28.0
-8.0,-7.0,5.0,1.0,-1.0,1.0,47.0,63.0,29.0
-1.0,-13.0,12.0,3.0,0.0,0.0,50.0,63.0,29.0
1.0,-17.0,16.0,2.0,0.0,1.0,52.0,63.0,30.0
2.0,-16.0,15.0,2.0,-1.0,1.0,54.0,62.0,31.0
3.0,-12.0,12.0,0.0,0.0,2.0,54.0,62.0,33.0
1.0,-8.0,8.0,0.0,0.0,1.0,54.0,62.0,34.0
-1.0,-6.0,7.0,0.0,-1.0,2.0,54.0,61.0,36.0
0.0,-6.0,5.0,0.0,-1.0,2.0,54.0,60.0,38.0
0.0,-6.0,5.0,0.0,0.0,2.0,54.0,60.0,40.0
-2.0,-5.0,4.0,0.0,-1.0,2.0,54.0,59.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,54.0,59.0,42.0
0.0,-5.0,4.0,0.0,0.0,1.0,54.0,59.0,43.0
-1.0,-4.0,4.0,0.0,-1.0,2.0,54.0,58.0,45.0
-2.0,-4.0,4.0,0.0,0.0,2.0,54.0,58.0,47.0
-1.0,-4.0,2.0,0.0,-1.0,2.0,54.0,57.0,49.0
0.0,-4.0,4.0,0.0,0.0,2.0,54.0,57.0,51.0
0.0,-4.0,4.0,-1.0,-1.0,1.0,53.0,56.0,52.0
-2.0,-4.0,3.0,0.0,-1.0,2.0,53.0,55.0,54.0
-2.0,-4.0,2.0,-1.0,0.0,1.0,52.0,55.0,55.0
-1.0,-4.0,3.0,-1.0,-1.0,1.0,51.0,54.0,56.0
0.0,-2.0,2.0,0.0,0.0,2.0,51.0,54.0,58.0
-1.0,-3.0,2.0,-1.0,-1.0,1.0,50.0,53.0,59.0
-1.0,-3.0,1.0,-1.0,0.0,1.0,49.0,53.0,60.0
