index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
443,576,686,-504,-93,-8,51,4601,2919,-3255,still
444,580,692,-504,-91,-7,49,4601,2919,-3255,still
445,585,697,-504,-88,-7,47,4601,2919,-3255,still
446,589,702,-506,-85,-6,45,4601,2919,-3255,still
447,594,706,-507,-82,-6,43,4601,2919,-3255,still
448,599,709,-509,-79,-5,41,4619,3148,-3170,still
449,605,711,-511,-76,-4,40,4619,3148,-3170,still
450,611,713,-515,-73,-4,38,4619,3148,-3170,still
451,611,713,-515,-73,-4,38,4619,3148,-3170,still
452,617,714,-518,-71,-3,36,4619,3148,-3170,still
453,624,714,-522,-68,-3,34,4619,3148,-3170,still
454,630,714,-527,-65,-2,32,4619,3148,-3170,still
455,635,713,-532,-62,-2,30,4619,3148,-3170,still
456,641,711,-537,-59,-2,28,4619,3148,-3170,still
457,647,708,-542,-56,-1,26,4619,3148,-3170,still
458,653,705,-547,-54,-1,24,4619,3148,-3170,still
459,659,702,-552,-51,-1,23,4619,3078,-3170,still
460,664,697,-556,-49,-1,21,4619,3078,-3136,still
461,664,697,-556,-49,-1,21,4619,3078,-3136,still
462,669,693,-560,-46,0,19,4619,3078,-3136,still
463,674,688,-565,-44,0,17,4619,3078,-3136,still
464,678,684,-570,-42,0,15,4619,3078,-3136,still
465,682,679,-573,-39,0,13,4619,3078,-3136,still
466,686,674,-577,-37,0,12,4619,3078,-3136,still
467,690,669,-580,-35,0,10,4619,3078,-3136,still
468,693,664,-583,-34,0,8,4619,3078,-3136,still
469,696,659,-585,-32,0,7,4619,3078,-3136,still
470,699,654,-587,-30,0,5,4584,3078,-3136,still
471,701,649,-588,-29,0,3,4584,3007,-3272,still
472,701,649,-588,-29,0,3,4584,3007,-3272,still
473,703,645,-589,-27,0,2,4584,3007,-3272,still
474,704,640,-589,-26,0,0,4584,3007,-3272,still
475,706,636,-590,-25,-1,-1,4584,3007,-3272,still
476,707,633,-591,-23,-1,-3,4584,3007,-3272,still
477,708,630,-592,-22,-1,-4,4584,3007,-3272,still
478,709,627,-592,-21,-1,-6,4584,3007,-3272,still
479,710,624,-592,-20,-1,-7,4584,3007,-3272,still
480,710,621,-592,-19,-1,-9,4584,3007,-3272,still
481,711,619,-591,-17,-1,-10,4584,3007,-3272,still
482,711,619,-591,-17,-1,-10,4601,3095,-3119,still
483,711,617,-590,-16,-1,-11,4601,3095,-3119,still
484,711,615,-588,-15,-2,-13,4601,3095,-3119,still
485,711,613,-586,-14,-2,-14,4601,3095,-3119,still
486,710,612,-583,-13,-2,-16,4601,3095,-3119,still
487,708,611,-580,-12,-2,-17,4601,3095,-3119,still
