index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
321,884,113,-498,0,0,0,5201,2423,-3221,still
322,884,113,-499,0,0,0,5201,2423,-3221,still
323,884,113,-499,0,0,0,5201,2423,-3221,still
324,884,113,-499,0,0,0,5201,2423,-3221,still
325,883,113,-498,-1,0,0,5201,2423,-3221,still
326,883,113,-499,-1,0,0,5324,2512,-3307,still
327,883,113,-499,-1,0,0,5324,2512,-3307,still
328,883,112,-499,-1,0,0,5324,2512,-3307,still
329,883,112,-499,-1,0,0,5324,2512,-3307,still
330,883,113,-499,-1,0,0,5324,2512,-3307,still
331,883,113,-500,-1,0,0,5324,2512,-3307,still
332,883,113,-500,-1,0,0,5324,2512,-3307,still
333,883,113,-501,-1,0,0,5324,2512,-3307,still
334,883,113,-501,-1,0,0,5324,2512,-3307,still
335,884,113,-501,-1,1,0,5324,2512,-3307,still
336,884,113,-501,-1,1,0,5324,2512,-3307,still
337,883,113,-500,-1,1,0,5430,2441,-3307,still
338,883,113,-500,-1,1,0,5430,2441,-3341,still
339,883,113,-500,-1,1,0,5430,2441,-3341,still
340,883,113,-500,-1,1,0,5430,2441,-3341,still
341,883,113,-500,-1,1,0,5430,2441,-3341,still
342,883,113,-501,-1,1,0,5430,2441,-3341,still
343,883,113,-500,-1,1,0,5430,2441,-3341,still
344,884,113,-499,-1,1,0,5430,2441,-3341,still
345,884,113,-499,-1,1,0,5430,2441,-3341,still
346,884,113,-499,-1,1,0,5430,2441,-3341,still
347,885,113,-499,-1,1,0,5430,2441,-3341,still
348,884,113,-500,-1,1,0,5430,2441,-3341,still
349,884,113,-500,-1,1,0,5430,2441,-3341,still
350,885,113,-500,-1,1,0,5430,2441,-3341,still
351,884,113,-500,-1,1,0,5430,2441,-3341,still
352,884,114,-500,-1,1,0,5430,2441,-3341,still
353,884,114,-499,-1,1,0,5430,2441,-3341,still
354,884,114,-500,-1,1,0,5430,2441,-3341,still
355,884,114,-499,-1,1,0,5430,2441,-3341,still
356,885,114,-499,-1,1,0,5430,2441,-3341,still
357,885,114,-498,-1,1,0,5430,2441,-3341,still
358,885,114,-498,-1,1,0,5430,2441,-3341,still
359,885,114,-499,-1,1,0,5430,2441,-3341,still
360,885,114,-499,-1,1,0,5430,2441,-3341,still
361,885,113,-499,-1,1,0,5430,2441,-3341,still
362,885,113,-499,-1,1,0,5430,2441,-3341,still
363,885,113,-499,-1,1,0,5430,2441,-3341,still
364,885,113,-499,-1,1,0,5430,2441,-3341,still
365,885,113,-499,-1,1,0,5430,2441,-3341,still
366,885,113,-498,-1,1,0,5430,2441,-3341,still
367,885,112,-498,-1,1,0,5430,2441,-3341,still
368,885,112,-498,-1,1,0,5430,2441,-3341,still
369,885,113,-498,-1,1,0,5430,2441,-3341,still
370,885,113,-498,-1,1,0,5430,2441,-3341,still
371,886,113,-498,-1,1,0,5430,2441,-3341,still
372,886,113,-498,-1,1,0,5306,2353,-3358,still
373,886,113,-499,-1,1,0,5306,2353,-3358,still
374,885,112,-499,-1,1,0,5306,2353,-3358,still
375,885,112,-500,-1,1,0,5306,2353,-3358,still
376,885,112,-500,-1,1,0,5306,2353,-3358,still
377,885,113,-500,-1,1,0,5306,2353,-3358,still
378,885,113,-500,-1,1,0,5306,2353,-3358,still
379,885,112,-500,-1,1,0,5306,2353,-3358,still
380,885,112,-500,-1,1,0,5306,2353,-3358,still
381,885,112,-500,-1,1,0,5306,2353,-3358,still
382,886,113,-500,-1,1,0,5306,2353,-3358,still
383,886,113,-500,-1,1,0,5342,2565,-3324,still
384,885,113,-501,-1,1,0,5342,2565,-3324,still
385,886,113,-502,-1,1,0,5342,2565,-3324,still
386,886,113,-501,-1,1,0,5342,2565,-3324,still
387,887,113,-500,-1,1,0,5342,2565,-3324,still
388,887,113,-499,-1,1,0,5342,2565,-3324,still
389,886,114,-499,-1,1,0,5342,2565,-3324,still
390,886,114,-499,-1,1,0,5342,2565,-3324,still
391,886,114,-499,-1,1,0,5342,2565,-3324,still
392,886,114,-500,-1,1,0,5342,2565,-3324,still
393,886,114,-499,-1,1,0,5342,2565,-3324,still
394,886,114,-499,-1,1,0,5395,2370,-3443,still
395,886,114,-499,-1,1,0,5395,2370,-3443,still
396,887,113,-499,-1,1,0,5395,2370,-3443,still
397,887,113,-498,-1,1,0,5395,2370,-3443,still
398,886,113,-498,-1,1,0,5395,2370,-3443,still
399,887,113,-498,-1,1,0,5395,2370,-3443,still
400,886,113,-498,-1,1,0,5395,2370,-3443,still
401,886,113,-498,-1,1,0,5395,2370,-3443,still
402,886,113,-497,-1,1,0,5395,2370,-3443,still
403,886,113,-497,-1,1,0,5395,2370,-3443,still
404,887,114,-497,-1,1,0,5395,2370,-3443,still
405,887,114,-497,-1,1,0,5395,2441,-3307,still
406,887,114,-497,-1,1,0,5395,2441,-3307,still
407,887,114,-498,-1,1,0,5395,2441,-3307,still
408,887,114,-498,-1,1,0,5395,2441,-3307,still
409,887,114,-497,-1,1,0,5395,2441,-3307,still
410,886,114,-496,-1,1,0,5395,2441,-3307,still
411,886,114,-496,-1,1,0,5395,2441,-3307,still
412,886,113,-497,-1,1,0,5395,2441,-3307,still
413,886,114,-497,-1,1,0,5395,2441,-3307,still
414,886,113,-497,-1,1,0,5395,2441,-3307,still
415,886,113,-497,-1,1,0,5395,2441,-3307,still
416,886,113,-498,-1,1,0,5430,2406,-3272,still
417,886,113,-498,-1,1,0,5430,2406,-3272,still
418,885,113,-499,-1,1,0,5430,2406,-3272,still
419,885,113,-500,-1,1,0,5430,2406,-3272,still
420,885,113,-501,-1,1,0,5430,2406,-3272,still
421,885,113,-501,-1,1,0,5430,2406,-3272,still
422,885,113,-501,-1,1,0,5430,2406,-3272,still
423,884,114,-501,-1,1,0,5430,2406,-3272,still
424,884,113,-500,-1,1,0,5430,2406,-3272,still
425,884,113,-500,-1,1,0,5430,2406,-3272,still
426,883,112,-500,-1,1,0,5430,2406,-3272,still
427,883,112,-500,-1,1,0,5342,2494,-3289,still
428,883,112,-501,-1,1,0,5342,2494,-3289,still
429,882,112,-501,-1,1,0,5342,2494,-3289,still
430,882,113,-500,-1,1,0,5342,2494,-3289,still
431,882,113,-500,-1,1,0,5342,2494,-3289,still
432,882,113,-500,-1,1,0,5342,2494,-3289,still
433,882,113,-500,-1,1,0,5342,2494,-3289,still
434,882,113,-500,-1,1,0,5342,2494,-3289,still
435,882,113,-501,-1,1,0,5342,2494,-3289,still
436,882,113,-500,-1,1,0,5342,2494,-3289,still
437,882,113,-500,-1,1,0,5342,2494,-3289,still
438,882,113,-500,-1,1,0,5483,2353,-3289,still
